10PA002,YAMBA RIVER BELOW DARING LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,STEVE.MORIN,,,,,04FC002
10HB005,REDSTONE RIVER 63 KM ABOVE THE MOUTH,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RYAN.LENNIE,,,,,02BF002
07KF002,LAKE CLAIRE NEAR OUTLET TO PRAIRIE RIVER,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04DC001
07KF003,MAMAWI LAKE CHANNEL AT OLD DOG CAMP,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04LG004
06LA001,KAZAN RIVER AT OUTLET OF ENNADAI LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,MICHAEL.KELLY,,,,,04FC001
07NB001,SLAVE RIVER AT FITZGERALD (ALBERTA),Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LUKE.NIXON,,,,,08LE027
06HB002,THLEWIAZA RIVER ABOVE OUTLET SEALHOLE LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,MICHAEL.KELLY,,,,,05KD007
10UH002,APEX RIVER AT APEX,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,07JD004
07SC004,HOARFROST RIVER NEAR THE MOUTH,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,IAN.JUNKER1,,,,,05GG001
10KA009,CANYON CREEK AT PIPELINE CROSSING,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RYAN.LENNIE,,,,,07BE001
10LD004,HARE INDIAN RIVER NEAR FORT GOOD HOPE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LEE.ROSS,,,,,05LM006
10KA001,MACKENZIE RIVER AT NORMAN WELLS,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LEE.ROSS,,,,,06GD001
07SB002,YELLOWKNIFE RIVER AT OUTLET OF PROSPEROUS LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RICH.KLAKOWICH,,,,,05MH005
07SB010,CAMERON RIVER BELOW REID LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,IAN.JUNKER1,,,,,04AB001
07SB014,PROSPEROUS LAKE NEAR MCMEEKAN BAY,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RICH.KLAKOWICH,,,,,06FD001
07KC001,PEACE RIVER AT PEACE POINT (ALBERTA),Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LUKE.NIXON,,,,,07FD010
10KA007,BOSWORTH CREEK NEAR NORMAN WELLS,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RYAN.LENNIE,,,,,02KF015
10QC001,BURNSIDE RIVER NEAR THE MOUTH,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,STEVE.MORIN,,,,,04HA002
07QC007,TAZIN RIVER NEAR THE MOUTH,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LUKE.NIXON,,,,,08CG001
07QD002,NONACHO LAKE NEAR LUTSELK'E (SNOWDRIFT),Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LUKE.NIXON,,,,,08FC003
10KA008,OSCAR CREEK NEAR NORMAN WELLS,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,LEE.ROSS,,,,,08GD004
06JB001,HANBURY RIVER ABOVE HOARE LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,IAN.JUNKER1,,,,,08NF001
07NA008,RIVIERE DES ROCHERS WEST OF LITTLE RAPIDS,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,05MH005
07KC005,PEACE RIVER BELOW CHENAL DES QUATRE FOURCHES,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04LM001
07KF015,EMBARRAS RIVER BREAKTHROUGH TO MAMAWI LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04HA001
07MD001,LAKE ATHABASCA AT FORT CHIPEWYAN,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04HA003
07NA001,RIVIERE DES ROCHERS ABOVE SLAVE RIVER,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04LC003
07NA007,RIVIERE DES ROCHERS EAST OF LITTLE RAPIDS,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,04CA002
07SC001,BEAULIEU RIVER NEAR GREAT SLAVE LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,IAN.JUNKER1,,,,,04ME003
10KB001,CARCAJOU RIVER BELOW IMPERIAL RIVER,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,RYAN.LENNIE,,,,,08ME023
07RD001,LOCKHART RIVER AT OUTLET OF ARTILLERY LAKE,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,IAN.JUNKER1,,,,,07FA006
07DD007,ATHABASCA RIVER ABOVE JACKFISH CREEK,Hydrology Station,YELLOWKNIFE,YELLOWKNIFE,NORTHWEST TERRITORIES,ACTIVE,JASON.FRIESEN1,,,,,07HA001
